1988	8.89	0.60	0.06	3.22	1.45	0.40	0.00	0.03	0.00	0.79	9.70	8.69	33.83
1989	2.55	2.49	14.87	1.13	0.10	0.48	0.00	0.00	2.12	2.33	3.58	0.00	29.65
1990	6.70	4.57	3.84	0.20	8.04	0.00	0.00	0.00	0.09	0.37	1.07	2.30	27.18
1991	1.63	6.40	19.07	1.59	0.14	0.37	0.00	0.00	0.00	4.03	2.14	3.39	38.76
1992	2.22	12.66	5.84	1.75	0.00	2.44	0.00	0.03	0.00	5.61	0.15	14.76	M
1993	23.40	11.21	4.12	1.80	2.04	1.15	0.00	0.00	0.00	1.00	M	M	M
1994	M	7.49	0.46	M	2.21	0.03	0.00	0.00	0.00	0.35	16.25	6.32	M
1995	22.88	0.62	15.16	2.92	2.94	0.60	0.00	0.00	0.00	0.10	0.42	15.43	61.07
1996	15.05	16.13	3.02	4.63	4.57	0.02	0.00	0.00	0.03	1.31	5.62	20.56	70.94
1997	12.52	0.33	1.02	0.60	0.35	0.30	0.01	1.24	0.21	2.80	12.87	5.17	37.42
1998	17.20	23.52	3.15	3.01	4.34	0.00	0.00	0.00	0.01	1.20	10.96	1.91	65.30
1999	5.55	13.33	5.09	3.32	0.06	0.00	0.00	T	0.06	0.01	3.17	0.96	31.55
2000	10.73	16.70	2.65	2.35	1.96	0.05	0.00	0.00	0.01	3.84	M	1.52	M
2001	5.83	8.65	2.03	0.92	0.00	0.45	0.00	0.00	0.12	1.04	10.08	17.71	M
2002	5.06	2.64	4.60	0.54	0.98	0.00	0.00	0.00	0.00	0.00	3.95	24.10	41.87
2003	5.79	3.72	1.82	5.06	2.34	0.00	0.00	0.03	0.01	0.00	3.02	16.49	38.28
2004	6.41	11.21	2.06	1.69	0.10	0.00	0.00	0.00	0.17	4.26	2.96	15.85	44.71
2005	7.02	6.96	8.28	3.31	5.07	1.01	0.00	0.00	0.04	0.50	2.89	28.55	63.63
2006	7.78	4.19	13.54	8.38	0.39	T	0.00	0.00	0.00	0.56	4.57	6.88	46.29
2007	0.35	11.61	0.41	2.70	0.81	0.00	T	0.00	0.08	3.46	0.81	7.86	28.09
2008	17.49	5.72	0.25	0.29	0.02	0.00	0.00	0.00	0.00	1.71	4.63	4.33	34.44
2009	0.76	14.72	3.95	0.82	2.60	0.01	0.00	0.00	0.37	7.95	1.03	5.72	37.93
2010	13.28	9.14	5.81	6.80	1.71	0.00	0.00	0.00	0.00	5.90	4.87	12.46	59.97
2011	2.81	7.31	14.31	M	1.92	2.41	0.00	0.00	0.00	2.54	3.51	0.12	M
2012	8.28	2.32	16.24	2.41	0.21	0.04	0.02	0.00	0.00	2.21	9.92	15.85	57.50
2013	0.99	0.42	0.84	1.30	0.05	1.49	0.00	0.00	0.59	0.00	1.28	0.84	7.80
2014	0.02	16.41	4.49	1.63	0.06	0.00	0.01	0.00	0.42	0.95	4.53	19.80	48.32
2015	T	3.44	0.40	2.19	0.01	0.14	0.08	0.00	0.53	0.01	1.42	7.31	15.53
2016	14.04	1.07	11.48	1.56	0.14	0.00	0.00	0.00	0.00	6.44	5.49	10.54	50.76
2017	22.99	22.36	6.69	5.72	T	0.18	0.00	T	0.13	0.25	6.01	0.02	64.35
2018	8.59	0.28	12.52	4.59	0.00	0.00	0.00	0.00	T	1.76	6.51	3.25	37.50
2019	10.65	20.48	9.03	1.21	5.15	0.00	0.00	T	T	M	2.20	16.73	M
2020	3.34	0.00	2.01	2.03	1.35	0.00	0.00	0.07	0.00	0.00	2.37	3.33	14.50
2021	4.46	1.63	2.74	0.18	T	T	0.00	T	T	20.37	4.25	16.50	50.13
2022	2.97	0.05	0.97	2.31	T	0.32	0.00	T	0.97	0.00	2.03	16.22	25.84
2023	17.48	7.31	16.17	1.76	1.57	0.04	0.00	0.00	0.22	0.76	3.71	10.10	59.12
2024	9.87	10.64	6.62	1.36	M	M	M	M	M	M	M	M	M
